사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
2022-02,2호선,220,선릉,47,2,2865,5064,7897,29185,14369,79304,23020,209721,22299,163729,25248,73133,32642,48771,39910,45546,46311,52037,55128,42940,70326,37525,91890,35331,138709,38132,221546,41372,106954,23923,72427,14691,78005,17178,42069,10919,7028,4038,0,60,0,0,0,0,0,0
2022-02,2호선,221,역삼,21,0,2563,6035,6342,28931,11082,98017,19329,258621,17576,219660,18352,88062,25429,50298,31843,46380,36419,52271,44346,41298,58616,37880,74443,34910,144629,38892,217710,45431,114021,25662,69559,15352,75614,16663,40814,10119,7033,4175,3,9,0,1,0,0,0,0
2022-02,2호선,222,강남,82,3,4508,9202,12339,40577,27756,106237,46964,244108,38775,261797,41870,123823,57802,90945,73983,93203,88529,110634,96322,96594,117388,90465,134910,95729,192336,109093,259909,131267,162943,68263,147897,33531,196510,35066,105602,21894,14386,8089,5,23,0,0,0,0,0,0
2022-02,2호선,223,교대(법원.검찰청),26,0,1930,5779,9559,18283,17539,38795,25751,120581,21110,112728,20533,53455,24744,41101,28158,38331,34436,42593,38708,39378,43682,35735,48651,35787,76386,41899,112527,51166,51296,29983,43334,17181,51491,19837,25916,13166,4566,4420,1,27,2,2,0,0,0,0
2022-02,2호선,224,서초,31,0,1225,3743,5827,16003,11205,35093,18432,88128,18850,70680,14721,27902,19349,21444,18864,17209,24003,20129,24742,18211,28756,15363,33279,16622,54059,16998,76278,18149,31882,12098,21666,8035,24486,9400,11645,6493,2394,1959,2,8,3,2,0,0,0,0
2022-02,2호선,225,방배,0,0,1777,2177,6838,8404,15127,19010,22972,55687,18415,33411,13974,16877,14241,14275,16123,14881,17790,18031,17962,16624,19415,16731,22897,17974,30614,23027,49949,29161,20934,20582,15708,12835,16964,15280,9887,10832,2011,3193,0,13,1,1,0,0,0,0
2022-02,2호선,226,사당,55,2,8868,2455,18543,21626,52829,29674,75603,48543,53967,38364,34673,33166,33039,35601,39652,38012,39563,39979,41015,41129,42348,48350,45397,59367,54479,81229,69507,113288,44742,75481,44658,47525,57970,56427,29323,37998,5602,14263,2,697,0,0,0,0,0,0
2022-02,2호선,227,낙성대(강감찬),17,0,8351,1414,19548,6869,57093,11785,95826,28581,59338,23717,32452,19575,28682,18840,31793,22106,31665,23312,28534,25407,27915,28758,30045,34373,34572,48166,37316,78506,19973,66604,16680,43558,17032,50857,10598,37394,2983,13129,1,652,0,0,0,0,0,0
2022-02,2호선,228,서울대입구(관악구청),3618,13,20987,1797,31878,9586,91257,19920,137157,50366,90650,49400,52070,41160,47914,38724,52957,43003,56026,49233,50843,49962,52642,53432,58877,67009,63543,88188,70923,138449,41363,110190,40701,65073,46875,77936,26160,57183,5977,20572,0,4224,0,0,0,0,0,0
2022-02,2호선,229,봉천,35,0,11731,807,20656,5257,58485,7572,92431,21091,54174,15531,29773,15270,25660,16188,26980,18198,27613,21328,23732,22818,22916,28342,23185,33271,24317,42895,26136,69733,14536,57071,11993,35883,11855,41912,7321,28823,1780,10414,0,168,0,0,0,0,0,0
2022-02,2호선,230,신림,200,21,29919,2606,59149,14814,156189,24617,243335,48754,145130,41719,77514,37877,66557,40252,70355,47540,68598,55610,62884,60890,61210,72915,65868,91729,69683,120899,71450,204018,43640,173843,40516,106546,44724,126347,28481,88936,6296,35999,1,115,0,0,0,0,0,0
2022-02,2호선,231,신대방,70,1,18943,1186,27196,6959,66535,13941,102068,25005,60895,17213,33826,14623,28469,15932,29109,19043,28331,20861,25329,23432,24525,31115,25860,36107,27775,50547,31242,75764,17194,66505,13198,44847,11103,56610,6974,38079,2008,15057,0,33,0,0,0,0,0,0
2022-02,2호선,232,구로디지털단지,134,4,27995,3974,39812,17005,99710,64267,138972,195503,83694,107951,49428,42937,45509,35941,50675,37290,51897,47017,47698,46520,50861,51956,59532,61230,99359,82832,173847,127178,80682,98697,51011,61255,50225,77311,25001,52662,4456,20103,1,54,0,2,1,0,0,0
2022-02,2호선,233,대림(구로구청),420,16,24180,2685,24553,8664,48212,16422,71954,43517,46050,26202,27050,21861,23789,23184,26167,23407,26219,25341,24303,25858,24550,30365,26554,35372,33459,46639,41101,54731,20088,41919,14411,29494,12197,45683,7149,28861,2120,9951,2,265,1,0,0,0,0,0
2022-02,2호선,234,신도림,2823,63,24860,3446,36291,14041,94906,29117,101657,84060,64187,47284,43255,46203,43205,43843,49925,49543,53226,54025,53140,51106,55534,56919,61522,63599,74387,81884,94862,129521,53363,90974,47857,52934,52065,65720,26336,45235,4735,20155,9,3631,0,1,0,0,0,0
2022-02,2호선,235,문래,1,0,2688,2131,9067,10617,30161,26127,34936,95937,19664,43724,14445,17451,14425,15675,17131,18313,17884,18245,18385,18133,20142,18712,26348,21041,44091,26100,80410,40222,28158,27583,21432,14576,25382,17487,11275,11051,1995,4227,1,165,0,0,1,1,0,0
2022-02,2호선,236,영등포구청,34,1,4184,2134,8749,10324,27496,28343,35382,100997,21992,45032,18266,21854,19058,19574,21963,20115,21752,22324,23510,20909,24872,20659,29017,23026,44422,27483,83999,41799,28642,28129,23343,15754,24195,19060,11299,12155,2451,5313,1,160,1,0,0,0,0,0
2022-02,2호선,237,당산,21,2,4658,1997,11985,9052,32795,20231,40707,55879,24121,27720,17052,14674,16674,14082,18121,15945,18528,17329,17558,16855,18008,19032,20079,22925,29661,32021,45560,53640,18954,36575,15829,23535,18622,29250,9919,17978,2201,7404,1,129,0,0,0,0,0,0
2022-02,2호선,238,합정,28,3,5190,1859,12280,9969,31158,24453,42302,70889,26474,61272,19702,35880,21552,37275,26967,41492,30287,45900,32737,44152,36103,42098,41784,47802,55988,59318,90045,76114,57017,47364,53741,24144,67851,26267,35023,17652,6042,8209,0,204,0,0,0,0,0,0
2022-02,2호선,239,홍대입구,190,4,7804,2403,15135,11075,42312,23218,55257,73667,36982,86739,27765,63420,34961,77088,43824,99819,52836,108419,60033,108013,72949,110918,90760,111554,113803,119452,137099,134557,110534,81122,129286,39636,171014,39579,88315,26379,12425,12390,58,1373,0,0,0,0,0,0
2022-02,2호선,240,신촌,19,0,3529,1738,8942,9961,25167,24701,37028,54902,26115,64664,25508,43828,31210,42603,39696,45599,40014,53134,42812,47263,49763,45226,57191,46131,67755,56974,66050,74366,46579,46538,55034,25240,65722,30612,38375,20673,6586,8228,0,29,0,0,0,0,0,0
2022-02,2호선,241,이대,14,1,2200,628,6010,5957,17843,8516,24561,26082,14634,21291,11334,15984,12569,14310,15258,15828,16473,17685,15414,15790,17772,16186,21032,16276,27193,19565,24885,29467,14683,21794,12032,13543,12244,17756,7324,12549,1787,5270,0,18,0,0,0,0,0,0
2022-02,2호선,242,아현,28,1,3237,732,7635,4546,20404,7290,28689,14545,17218,9763,12009,7464,11694,7521,12751,8799,12755,9593,11316,9913,12119,12092,13617,13237,14298,17140,14482,25212,8342,19582,5914,12726,5151,15762,3051,10307,786,4033,3,13,0,0,0,0,0,0
2022-02,2호선,243,충정로(경기대입구),7,0,2187,839,4782,5430,11583,15218,16431,45252,10794,21692,8334,9800,8520,7806,9258,8330,9634,9072,10281,8715,11075,9244,12640,9640,20505,12063,36676,16097,10738,11468,7792,7405,8212,9805,3905,5924,729,2625,1,69,0,0,0,0,0,0
2022-02,2호선,244,용답,0,0,1885,136,2484,744,5200,1247,9971,2736,5765,1645,3486,1733,3201,2066,3418,2430,3616,2616,3356,2819,3173,3560,3577,4548,3433,5103,2843,8663,1616,5901,1094,3776,959,5663,753,3899,207,1537,0,0,0,0,0,0,0,0
2022-02,2호선,245,신답,1,0,837,71,1396,366,4621,726,8038,1287,3611,846,1812,924,1522,982,1822,1174,1717,1253,1473,1431,1385,2120,1432,2647,1485,3469,1645,7903,727,5482,403,2546,542,3612,306,1986,51,889,2,10,0,0,0,0,0,0
2022-02,2호선,246,신설동,21,2,884,135,1111,1407,3198,4142,5858,10934,3410,7218,3046,6205,3878,5859,4785,5990,5422,6211,6365,5402,7333,5041,7671,3894,8657,4315,10588,5359,3576,3905,2132,2652,2291,2781,1094,1878,346,861,2,79,0,1,0,0,0,0
2022-02,2호선,247,도림천,0,0,293,296,909,608,2497,2272,2664,4580,1500,1948,1643,1345,1368,1041,2160,1595,1415,1169,1743,1618,1663,1254,2209,1571,2368,1812,3187,2481,1541,2004,602,1300,713,1471,224,1021,99,430,1,21,0,0,0,0,0,0
2022-02,2호선,248,양천구청,19,0,3628,757,7774,1686,23126,3920,22031,8267,12596,4214,8388,3734,7806,4117,8386,5384,7981,6196,6533,6245,6209,7767,6413,9229,6963,13222,7319,22006,3064,19439,2160,10581,1953,12119,1439,8424,315,3775,0,236,0,0,0,0,0,0
2022-02,2호선,249,신정네거리,50,2,6322,720,11994,2112,35690,3810,33588,9092,17945,6260,12520,5678,11679,7289,12450,8165,11415,9612,10480,10038,9797,12635,9941,15245,9768,21960,9221,36698,5417,28156,4249,15261,4049,16995,2281,12668,412,5026,4,286,0,0,0,0,0,0
2022-02,2호선,250,용두(동대문구청),21,0,821,104,1074,884,3581,1896,7089,4716,3555,2465,2733,2422,2776,2685,3117,2475,3121,2968,3260,3338,3459,3622,3769,3256,3521,3553,4293,6352,1765,4209,1084,2235,1082,2741,530,1620,102,728,0,20,0,0,0,0,0,0
2022-02,3호선,309,지축,1,0,1742,738,5378,4128,14817,2650,14904,2991,7792,2121,5537,1966,5044,2847,5125,3212,5185,3312,4712,3690,5096,4559,6864,5725,5401,7117,3532,13359,1584,11099,1020,7422,891,7357,723,5940,191,1688,0,0,0,0,0,0,0,0
2022-02,3호선,310,구파발,85,2,7471,1057,20899,6184,61538,15192,55909,21094,32133,20970,23400,20102,22703,17822,23953,19476,22989,21475,24040,23269,25525,22456,27048,24375,27940,30872,23006,55125,13819,44577,12119,26214,11395,27747,5883,18195,1103,9599,2,1108,0,0,0,0,0,0
2022-02,3호선,311,연신내,235,3,20360,1294,37771,7997,96972,12391,117920,26780,68053,26817,45278,27125,42750,29186,46749,31984,44855,36009,41412,37882,40593,46780,41561,54124,40047,68171,37063,106870,24833,89524,22117,50537,23962,57959,12812,40355,2123,18146,3,789,1,0,0,0,0,0
2022-02,3호선,312,불광,9,1,6982,799,13948,4156,37923,7634,45726,24222,26948,23534,19348,20632,18649,18410,19902,19712,20362,22114,20865,21785,21590,23227,22322,25282,22393,30127,22712,44737,12590,36346,10378,22123,9775,22258,4526,15304,916,6349,3,143,0,0,0,0,0,0
2022-02,3호선,313,녹번,18,1,7766,467,17994,2849,50502,5596,56767,14406,31803,8223,19809,7437,17291,8473,16970,10100,16319,10587,14618,11981,13442,14210,13163,19166,13189,26163,15350,46682,7355,39879,5622,23183,5100,25042,3095,17121,629,6639,1,58,0,0,0,0,0,0
2022-02,3호선,314,홍제,67,2,7547,1019,17562,5339,44990,8323,51276,19368,31716,13692,23216,13014,20997,13414,23327,15110,21786,16724,20591,18423,20009,21928,20940,24414,20695,30400,19874,48936,10191,38057,8419,23102,7441,26045,4064,17033,851,7128,1,15,0,0,1,4,0,0
2022-02,3호선,315,무악재,15,1,1313,200,3931,2371,9728,2065,11979,4452,7599,2751,5360,2713,4664,2891,4888,3162,4357,3560,4073,3648,3942,4386,4268,5642,4827,7070,5068,12001,2246,9840,1615,5990,1567,6803,888,4486,161,1858,0,1,0,0,0,0,0,0
2022-02,3호선,316,독립문,87,2,4105,619,4336,3345,10470,8405,12924,15237,10815,10761,8748,9812,8707,7995,9957,8475,10053,9628,10597,8720,10497,8822,10845,9165,11543,10458,12593,13603,5797,10649,3969,6645,3904,7375,2138,5087,403,1996,3,1158,0,0,0,0,0,0
2022-02,3호선,317,경복궁(정부서울청사),62,0,1736,1366,4185,9443,9474,27352,14516,78926,14264,42158,11771,27047,13590,26682,16798,26949,19750,29745,24056,26513,30162,21682,35685,20845,49688,19974,75678,21311,30637,13009,27937,8217,28998,9120,10525,6566,1490,2073,1,81,0,0,0,0,0,0
2022-02,3호선,318,안국,2,0,1044,1131,2263,13917,4482,54540,7116,72880,6744,43673,7960,29427,11324,30694,15740,29960,17238,31966,22754,28834,29671,22581,37255,19372,70489,16384,79361,14034,33306,7209,29406,4003,26760,4428,9136,2782,1429,1098,1,23,0,0,0,0,0,0
